School_code,Attendance,Enrollment,New_student,Withdrawals,African_American,White,Asian,Latino,Other,Pacific_Islander,Low_income_family,SCHOOL_NAME_1,SCHOOL_NAME_2,ADDRESS,SCHOOL_ZIP,ZIP_PLUS_4,CITY,STATE_CD,PHONE_NUMBER,SCH_START_GRADE,SCH_TERM_GRADE,HPADDR,SCHOOL_LEVEL_NAME,Drugs,Morals,Assaults,Weapons,Thefts,Total_suspensions,One_suspension,Two_suspensions,Three_suspensions,Three_plus_suspensions,Teacher_attendance,Special_education,Gifted_education,English_second_language,Average_salary
1010,84,1155,177,232,92,2,4,1,1,0,86,JOHN BARTRAM HIGH SCHOOL,"BARTRAM, JOHN HIGH",2401 S. 67TH ST.,19142,NA,PHILADELPHIA,PA,2154926450,9,12,,HIGH SCHOOL,10,1,31,10,3,176,137,28,5,6,94,21,1,9,72346
1020,81,854,146,181,98,1,1,1,1,0,88,WEST PHILADELPHIA HIGH SCHOOL,WEST PHILADELPHIA HIGH SCHOOL,4901 CHESTNUT ST.,19139,NA,PHILADELPHIA,PA,2154712902,9,12,www.philasd.org/schools/westphila,HIGH SCHOOL,6,0,25,5,3,250,150,58,24,17,93,20,1,2,63537
1030,90,419,9,38,90,4,1,4,1,0,86,HIGH SCHOOL OF THE FUTURE,HIGH SCHOOL OF THE FUTURE,4021 PARKSIDE AVE.,19104,NA,PHILADELPHIA,PA,2158235502,9,12,www.philasd.org/schools/hsof,HIGH SCHOOL,1,1,14,1,6,81,60,15,4,2,95,14,3,2,63623
1050,91,286,6,13,96,0,0,2,1,0,80,PAUL ROBESON HIGH SCHOOL,"ROBESON, PAUL HIGH SCHOOL",4125 LUDLOW ST.,19104,NA,PHILADELPHIA,PA,2158238207,9,12,www.philasd.org/schools/robeson,HIGH SCHOOL,0,0,4,0,1,38,28,8,2,1,93,12,2,1,70837
1100,81,611,99,110,98,1,0,1,0,0,88,SAYRE HIGH SCHOOL,"SAYRE, WILLIAM L. HIGH SCHOOL",5800 WALNUT ST.,19139,NA,PHILADELPHIA,PA,2154712904,9,12,www.philasd.org/schools/sayre,HIGH SCHOOL,4,0,30,6,2,200,123,45,20,12,92,20,1,0,68200
1130,92,396,42,48,93,2,3,2,0,0,90,TILDEN MIDDLE SCHOOL,TILDEN MIDDLE SCHOOL,6601 ELMWOOD AVE.,19142,NA,PHILADELPHIA,PA,2154926454,6,8,,MIDDLE SCHOOL,1,1,10,2,1,73,44,14,5,10,93,21,1,5,66970
1190,96,221,5,9,88,1,8,2,1,0,72,MOTIVATION HIGH SCHOOL,MOTIVATION HIGH SCHOOL,2555 S. 78TH ST.,19153,NA,PHILADELPHIA,PA,2154926451,9,12,www.philasd.org/schools/motivation,HIGH SCHOOL,0,0,2,0,0,10,9,1,0,0,96,7,3,4,65580
1200,92,764,145,93,96,1,0,1,2,0,93,JOHN BARRY ELEMENTARY SCHOOL,"BARRY, JOHN ELEMENTARY SCHOOL",5900 RACE ST.,19139,NA,PHILADELPHIA,PA,2154712744,0,8,,ELEMENTARY SCHOOL,1,2,33,3,1,155,106,28,15,7,93,8,0,0,64676
1230,91,508,79,75,95,1,0,1,2,0,91,BRYANT ACADEMICS PLUS SCHOOL,"BRYANT, WILLIAM C. SCHOOL",6001 CEDAR AVE.,19143,NA,PHILADELPHIA,PA,2154712910,0,8,www.philasd.org/schools/bryant,ELEMENTARY SCHOOL,0,1,22,2,0,67,47,12,5,4,91,11,0,1,59727
1250,94,595,82,59,80,2,13,2,3,0,90,J. W. CATHARINE SCHOOL,"CATHARINE, JOSEPH SCHOOL",6600 CHESTER AVE.,19142,NA,PHILADELPHIA,PA,2157272155,0,5,,ELEMENTARY SCHOOL,0,1,5,2,0,25,20,2,2,2,95,11,0,12,70837
1260,93,497,92,62,95,1,0,1,3,0,94,B. B. COMEGYS SCHOOL,"COMEGYS, BENJAMIN B. SCHOOL",5100 GREENWAY AVE.,19143,NA,PHILADELPHIA,PA,2157272162,0,6,,ELEMENTARY SCHOOL,0,1,8,2,0,57,40,10,4,3,92,11,0,0,67693
